player_id,name,team,salary,age,impact_now,years_left
1626145,Tyus Jones,PHX,2087519.0,29.0,1.87,2.6
1626153,Delon Wright,NYK,2087519.0,33.0,0.72,1.7999999999999998
1626156,D'Angelo Russell,BKN,18692307.0,29.0,2.0,2.6
1626157,Karl-Anthony Towns,NYK,49205800.0,29.0,3.86,2.6
1626158,Richaun Holmes,WAS,12648321.0,31.0,1.41,2.2
1626162,Kelly Oubre Jr.,PHI,7983000.0,29.0,2.36,2.6
1626164,Devin Booker,PHX,49205800.0,28.0,3.45,2.8
1626166,Cameron Payne,NYK,2087519.0,30.0,1.17,2.4
1626167,Myles Turner,IND,19928500.0,29.0,2.52,2.6
1626168,Trey Lyles,SAC,8000000.0,29.0,1.32,2.6
1626171,Bobby Portis,MIL,12578286.0,30.0,2.45,2.4
1626172,Kevon Looney,GSW,8000000.0,29.0,1.23,2.6
1626179,Terry Rozier,MIA,24924126.0,31.0,1.67,2.2
1626181,Norman Powell,LAC,19241379.0,32.0,2.79,2.0
1626192,Pat Connaughton,MIL,9423869.0,32.0,0.96,2.0
1626196,Josh Richardson,MIA,3051153.0,31.0,0.69,2.2
1626204,Larry Nance Jr.,ATL,11205000.0,32.0,1.57,2.0
1626220,Royce O'Neale,PHX,9375000.0,32.0,1.79,2.0
1627732,Ben Simmons,LAC,40011909.0,28.0,1.25,2.8
1627732,Ben Simmons,LAC,40011909.0,28.0,1.25,2.8
1627734,Domantas Sabonis,SAC,40500000.0,29.0,3.52,2.6
1627736,Malik Beasley,DET,6000000.0,28.0,2.35,2.8
1627739,Kris Dunn,LAC,5168000.0,31.0,1.37,2.2
1627741,Buddy Hield,GSW,8780488.0,32.0,1.73,2.0
1627742,Brandon Ingram,TOR,36016200.0,27.0,2.93,3.0
1627746,Skal Labissiere,SAC,119972.0,29.0,0.27,2.6
1627747,Caris LeVert,ATL,16615384.0,30.0,1.94,2.4
1627749,Dejounte Murray,NOP,29517135.0,28.0,2.87,2.8
1627750,Jamal Murray,DEN,36016200.0,28.0,3.13,2.8
1627751,Jakob Poeltl,TOR,19500000.0,29.0,2.55,2.6
1627752,Taurean Prince,MIL,2087519.0,31.0,1.47,2.2
1627759,Jaylen Brown,BOS,49205800.0,28.0,3.06,2.8
1627763,Malcolm Brogdon,WAS,22500000.0,32.0,1.88,2.0
1627777,Georges Niang,ATL,8500000.0,32.0,1.54,2.0
1627780,Gary Payton II,GSW,9130000.0,32.0,1.12,2.0
1627783,Pascal Siakam,IND,42176400.0,31.0,3.07,2.2
1627814,Damion Lee,PHX,2087519.0,32.0,0.43,2.0
1627824,Guerschon Yabusele,PHI,2087519.0,29.0,1.89,2.6
1627826,Ivica Zubac,LAC,11743210.0,28.0,3.07,2.8
1627827,Dorian Finney-Smith,LAL,14924167.0,32.0,1.55,2.0
1627832,Fred VanVleet,HOU,42846615.0,31.0,2.51,2.2
1627884,Derrick Jones Jr.,LAC,9523810.0,28.0,1.49,2.8
1627936,Alex Caruso,OKC,9890000.0,31.0,1.44,2.2
1628365,Markelle Fultz,SAC,731831.0,27.0,0.46,3.0
1628366,Lonzo Ball,CHI,21395348.0,27.0,1.56,3.0
1628368,De'Aaron Fox,SAS,34848340.0,27.0,3.28,3.0
1628369,Jayson Tatum,BOS,34848340.0,27.0,4.08,3.0
1628370,Malik Monk,SAC,17405203.0,27.0,2.54,3.0
1628371,Jonathan Isaac,ORL,25000000.0,27.0,1.19,3.0
1628374,Lauri Markkanen,UTA,42176400.0,28.0,2.76,2.8
1628378,Donovan Mitchell,CLE,35410310.0,28.0,3.41,2.8
